Subject;Body Mass (N);Trial ;AlterG % BW;Speed;Gradient;Avg Contact time Left [ms];Avg Contact time Right [ms];Average Peak Force Left [N];Average Peak Force Right [N];Force Norm BW Left;Force NrmBW Right
SMc;706;1;60;12;0;281;263;1246;1314;1,76;1,86
SMc;706;2;60;15;0;262;213;1294;1448;1,83;2,05
SMc;706;3;60;18;0;240;194;1338;1368;1,90;1,94
SMc;706;4;60;21;0;214;186;1558;1496;2,21;2,12
SMc;706;5;60;24;0;226;164;1477;1574;2,09;2,23
SMc;706;6;60;12;5;251;248;1241;1290;1,76;1,83
SMc;706;7;60;15;5;269;229;1305;1415;1,85;2,00
SMc;706;8;60;18;5;270;215;1292;1408;1,83;1,99
SMc;706;9;60;21;5;222;181;1356;1450;1,92;2,05
SMc;706;10;60;24;5;192;162;1371;1523;1,94;2,16
SMc;706;11;60;12;10;266;245;1298;1325;1,84;1,88
SMc;706;12;60;15;10;275;221;1362;1472;1,93;2,08
SMc;706;13;60;18;10;270;191;1302;1404;1,84;1,99
SMc;706;14;60;21;10;243;184;1394;1464;1,97;2,07
SMc;706;15;60;24;10;232;161;1352;1434;1,92;2,03
SMc;706;16;60;12;15;301;249;1320;1388;1,87;1,97
SMc;706;17;60;15;15;271;225;1372;1462;1,94;2,07
SMc;706;18;60;18;15;242;205;1341;1428;1,90;2,02
SMc;706;19;60;21;15;244;184;1343;1430;1,90;2,03
SMc;706;20;60;24;15;218;164;1394;1500;1,97;2,12
SMc;706;21;80;12;0;304;263;1460;1523;2,07;2,16
SMc;706;22;80;15;0;281;230;1465;1632;2,08;2,31
SMc;706;23;80;18;0;258;208;1510;1678;2,14;2,38
SMc;706;24;80;21;0;263;191;1540;1666;2,18;2,36
SMc;706;25;80;24;0;234;166;1562;1654;2,21;2,34
SMc;706;26;80;12;5;298;260;1452;1562;2,06;2,21
SMc;706;27;80;15;5;286;232;1510;1594;2,14;2,26
SMc;706;28;80;18;5;309;209;1570;1666;2,22;2,36
SMc;706;29;80;21;5;262;190;1562;1664;2,21;2,36
SMc;706;30;80;24;5;226;171;1556;1638;2,20;2,32
SMc;706;31;80;12;10;296;254;1461;1582;2,07;2,24
SMc;706;32;80;15;10;299;230;1530;1617;2,17;2,29
SMc;706;33;80;18;10;311;207;1556;1653;2,20;2,34
SMc;706;34;80;21;10;261;189;1555;1658;2,20;2,35
SMc;706;35;80;24;10;;;;;0,00;0,00
SMc;706;36;80;12;15;312;258;1520;1590;2,15;2,25
SMc;706;37;80;15;15;305;237;1512;1578;2,14;2,24
SMc;706;38;80;18;15;320;211;1552;1664;2,20;2,36
SMc;706;39;80;21;15;266;203;1530;1655;2,17;2,34
SMc;706;40;80;24;15;228;168;1536;1636;2,18;2,32
SMc;706;41;100;12;0;320;271;1538;1655;2,18;2,34
SMc;706;42;100;15;0;290;232;1633;1725;2,31;2,44
SMc;706;43;100;18;0;281;209;1721;1824;2,44;2,58
SMc;706;44;100;21;0;281;193;1680;1828;2,38;2,59
SMc;706;45;100;24;0;219;180;1623;1815;2,30;2,57
SMc;706;46;100;12;5;336;272;1555;1620;2,20;2,29
SMc;706;47;100;15;5;364;244;1684;1810;2,39;2,56
SMc;706;48;100;18;5;306;213;1675;1831;2,37;2,59
SMc;706;49;100;21;5;289;212;1706;1835;2,42;2,60
SMc;706;50;100;24;5;232;174;1640;1828;2,32;2,59
SMc;706;51;100;12;10;325;261;1590;1652;2,25;2,34
SMc;706;52;100;15;10;341;241;1692;1810;2,40;2,56
SMc;706;53;100;18;10;354;212;1690;1820;2,39;2,58
SMc;706;54;100;21;10;275;195;1692;1836;2,40;2,60
SMc;706;55;100;24;10;229;168;1596;1808;2,26;2,56
SMc;706;56;100;12;15;330;264;1585;1671;2,25;2,37
SMc;706;57;100;15;15;321;241;1652;1692;2,34;2,40
SMc;706;58;100;18;15;285;209;1658;1774;2,35;2,51
SMc;706;59;100;21;15;254;188;1580;1720;2,24;2,44
SMc;706;60;100;24;15;258;156;1633;1775;2,31;2,51
SMc;706;61;60;12;-5;267;241;1286;1371;1,82;1,94
SMc;706;62;60;15;-5;238;215;1270;1338;1,80;1,90
SMc;706;63;60;12;-10;284;248;1254;1366;1,78;1,93
SMc;706;64;60;15;-10;252;226;1281;1373;1,81;1,94
SMc;706;65;60;12;-15;285;248;1320;1410;1,87;2,00
SMc;706;66;60;15;-15;239;221;1356;1436;1,92;2,03
SMc;706;67;80;12;-5;292;259;1420;1500;2,01;2,12
SMc;706;68;80;15;-5;280;225;1476;1602;2,09;2,27
SMc;706;69;80;12;-10;291;252;1420;1510;2,01;2,14
SMc;706;70;80;15;-10;281;231;1526;1616;2,16;2,29
SMc;706;71;80;12;-15;289;254;1400;1548;1,98;2,19
SMc;706;72;80;15;-15;277;232;1583;1650;2,24;2,34
SMc;706;73;100;12;-5;307;258;1580;1668;2,24;2,36
SMc;706;74;100;15;-5;308;236;1623;1733;2,30;2,45
SMc;706;75;100;12;-10;302;268;1568;1655;2,22;2,34
SMc;706;76;100;15;-10;292;232;1620;1736;2,29;2,46
SMc;706;77;100;12;-15;305;266;1526;1655;2,16;2,34
SMc;706;78;100;15;-15;307;239;1612;1700;2,28;2,41
G McC;764;1;60;12;0;206;211;1502;1634;1,97;2,14
G McC;764;2;60;15;0;186;176;1570;1596;2,05;2,09
G McC;764;3;60;18;0;167;169;1396;1432;1,83;1,87
G McC;764;4;60;21;0;151;162;1553;1713;2,03;2,24
G McC;764;5;60;24;0;184;134;1580;1743;2,07;2,28
G McC;764;6;60;12;5;215;209;1472;1516;1,93;1,98
G McC;764;7;60;15;5;205;186;1436;1523;1,88;1,99
G McC;764;8;60;18;5;163;165;1376;1446;1,80;1,89
G McC;764;9;60;21;5;167;159;1502;1620;1,97;2,12
G McC;764;10;60;24;5;152;143;1697;1597;2,22;2,09
G McC;764;11;60;12;10;207;197;1300;1331;1,70;1,74
G McC;764;12;60;15;10;143;139;1476;1580;1,93;2,07
G McC;764;13;60;18;10;190;181;1328;1354;1,74;1,77
G McC;764;14;60;21;10;169;161;1465;1554;1,92;2,03
G McC;764;15;60;24;10;169;143;1610;1636;2,11;2,14
G McC;764;16;60;12;15;226;215;1331;1451;1,74;1,90
G McC;764;17;60;15;15;233;190;1405;1462;1,84;1,91
G McC;764;18;60;18;15;198;172;1460;1536;1,91;2,01
G McC;764;19;60;21;15;162;163;1472;1570;1,93;2,05
G McC;764;20;60;24;15;158;142;1656;1616;2,17;2,12
G McC;764;21;80;12;0;219;209;1608;1700;2,10;2,23
G McC;764;22;80;15;0;218;197;1576;1656;2,06;2,17
G McC;764;23;80;18;0;182;182;1650;1750;2,16;2,29
G McC;764;24;80;21;0;184;161;1900;1814;2,49;2,37
G McC;764;25;80;24;0;160;150;1980;2028;2,59;2,65
G McC;764;26;80;12;5;221;213;1477;1571;1,93;2,06
G McC;764;27;80;15;5;197;197;1660;1768;2,17;2,31
G McC;764;28;80;18;5;175;184;1620;1724;2,12;2,26
G McC;764;29;80;21;5;171;168;1677;1755;2,20;2,30
G McC;764;30;80;24;5;154;147;1916;1863;2,51;2,44
G McC;764;31;80;12;10;221;217;1406;1530;1,84;2,00
G McC;764;32;80;15;10;220;205;1500;1623;1,96;2,12
G McC;764;33;80;18;10;185;174;1600;1706;2,09;2,23
G McC;764;34;80;21;10;208;169;1636;1693;2,14;2,22
G McC;764;35;80;24;10;197;151;1622;1625;2,12;2,13
G McC;764;36;80;12;15;245;228;1420;1516;1,86;1,98
G McC;764;37;80;15;15;241;198;1522;1614;1,99;2,11
G McC;764;38;80;18;15;198;187;1532;1680;2,01;2,20
G McC;764;39;80;21;15;183;177;1600;1602;2,09;2,10
G McC;764;40;80;24;15;168;147;1640;1728;2,15;2,26
G McC;764;41;100;12;0;234;222;1623;1763;2,12;2,31
G McC;764;42;100;15;0;215;206;1768;1888;2,31;2,47
G McC;764;43;100;18;0;202;181;1832;1924;2,40;2,52
G McC;764;44;100;21;0;185;169;1890;1910;2,47;2,50
G McC;764;45;100;24;0;166;159;2122;2130;2,78;2,79
G McC;764;46;100;12;5;244;228;1611;1720;2,11;2,25
G McC;764;47;100;15;5;208;201;1636;1788;2,14;2,34
G McC;764;48;100;18;5;190;186;1780;1842;2,33;2,41
G McC;764;49;100;21;5;197;174;1876;1946;2,46;2,55
