force,time,speed,gradtient,bw
1.81303116147309,272,12,0,60
1.94192634560906,237.5,15,0,60
1.91643059490085,217,18,0,60
2.1628895184136,200,21,0,60
2.16076487252125,195,24,0,60
1.79249291784703,249.5,12,5,60
1.92634560906516,249,15,5,60
1.91218130311615,242.5,18,5,60
1.98725212464589,201.5,21,5,60
2.04957507082153,177,24,5,60
1.85764872521246,255.5,12,10,60
2.0070821529745,248,15,10,60
1.91643059490085,230.5,18,10,60
2.02407932011331,213.5,21,10,60
1.97308781869688,196.5,24,10,60
1.91784702549575,275,12,15,60
2.0070821529745,248,15,15,60
1.96104815864023,223.5,18,15,60
1.96388101983003,214,21,15,60
2.04957507082153,191,24,15,60
2.11260623229462,283.5,12,0,80
2.19334277620397,255.5,15,0,80
2.25779036827195,233,18,0,80
2.27053824362606,227,21,0,80
2.27762039660057,200,24,0,80
2.13456090651558,279,12,5,80
2.19830028328612,259,15,5,80
2.29178470254957,259,18,5,80
2.28470254957507,226,21,5,80
2.26203966005666,198.5,24,5,80
2.15509915014164,275,12,10,80
2.22875354107649,264.5,15,10,80
2.27266288951841,259,18,10,80
2.27549575070821,225,21,10,80
NaN,NaN,24,10,80
2.20254957507082,285,12,15,80
2.18838526912181,271,15,15,80
2.27762039660057,265.5,18,15,80
2.2556657223796,234.5,21,15,80
2.24645892351275,198,24,15,80
2.26133144475921,295.5,12,0,100
2.37818696883853,261,15,0,100
2.51062322946176,245,18,0,100
2.48441926345609,237,21,0,100
2.43484419263456,199.5,24,0,100
2.2485835694051,304,12,5,100
2.47450424929179,304,15,5,100
2.48300283286119,259.5,18,5,100
2.50779036827195,250.5,21,5,100
2.45609065155807,203,24,5,100
2.29603399433428,293,12,10,100
2.48016997167139,291,15,10,100
2.48583569405099,283,18,10,100
2.4985835694051,235,21,10,100
2.41076487252125,198.5,24,10,100
2.30594900849858,297,12,15,100
2.36827195467422,281,15,15,100
2.43059490084986,247,18,15,100
2.3371104815864,221,21,15,100
2.41359773371105,207,24,15,100
1.88172804532578,254,12,-5,60
1.84702549575071,226.5,15,-5,60
1.85552407932011,266,12,-10,60
1.87960339943343,239,15,-10,60
1.93342776203966,266.5,12,-15,60
1.97733711048159,230,15,-15,60
2.06798866855524,275.5,12,-5,80
2.17988668555241,252.5,15,-5,80
2.07507082152974,271.5,12,-10,80
2.22521246458924,256,15,-10,80
2.08781869688385,271.5,12,-15,80
2.28966005665722,254.5,15,-15,80
2.30028328611898,282.5,12,-5,100
2.37677053824363,272,15,-5,100
2.28257790368272,285,12,-10,100
2.37677053824363,262,15,-10,100
